mod_id;name;name_server
2579252958;Additional Medical supplies;@Additional_medical_supplies
3034460305;Advanced Medicine items;@Advanced_medicine_items
3321340470;AI Audio;@AI_Audio
2550932214;Aimsounds;@Aimsounds
2741271183;Ammo Expansion;@Ammo_Exp
3114410963;Animals Pack;???
2651195301;ARMA II Helicopters;@ArmaII_helis
1710977250;BaseBuilding Plus;@BBP
2307297070;BaseBuilding Plus MOD PACK;???
3279662973;Cigarettes;@Cigarettes
1630943713;Clouds Military Gear;@Clouds_Mil_Gear
1559212036;Community Frameworks;@Community_Framework
1564026768;Community Online Tools;@Community_Online_Tools
1866298408;Creepy Zombies;@Creepy_Zombies
2545327648;Dabs Framework;@Dabs_Framework
2471347750;DayZ Dogs;@DayZ_Dogs
2793893086;DayZ Expansion Animations;@Expansion_Animations
2572331007;DayZ Expansion Bundle;@Expansion_Bundle
2116157322;DayZ Expansion Licensed;@Expansion_Licensed
1895432270;DINGO;@DINGO
2874589934;Dynamic AI;@Dynamic_AI
2985895498;Eat Worms;@EatWorms
2780914191;Edo Weapons;@Edo_Weapons
2937138060;FC Fish Equip;@FC_Fish_Equip
1832448183;Flip Transport;@FlipTransport
3108865421;FOG Patches Retextures;@FOG_Patches_Retextures
2931560672;Forward Operator Gear;@FO_Gear
2723807644;FOX Weapons;@FOX_weapons
2208230845;Garbage Search;@Garbage_Search
2903112334;Give and Take;@Give_Take
2926289548;Hope Survivor Backpacks;@hope_Survivor_backpacks
2521460498;Immersive Placing;@Immersive_Placing
2472500243;In Vehicle Inventory;@vehicle_inventory
3031784065;Inedia Infected AI;@Inedia_Infected_AI
2990236173;Inedia Stamina;@Inedia_Stamina
1566911166 / 3235595156;Mass Many Items LEGACY;@MMIO_Legacy
2977703357;Medical Attention;@MedicalAttention_compatible
2980235854;Medical Attention Drunkenness;@MedicalAttention_Drunkenness
2789302074;Mega Foodpack;@MegaFoodPack
1870481515;MoreFood;@More_Food
2155726353;Mortys Weapons;@Mortys_Weapons
3171576913;Much Framework;@Much_Framework
1991570984;Much Stuff Pack;@Much_Stuff_Pack
2895460678;NBC Overcloth;@NBC_overcloth
2912241382;Parachute;@Parachute
3119592638;Plane Assets;???
2851058261;Pokemon Karten;@Pokemon_Cards
3200745813;Search for Loot improved;@Search_for_loot_improved
2614334381;sFrameworks;@sFramework
2507204412;sGunplay;@sGunplay
2166325582;Shake for fruit;@Shake_for_Fruit
2111523728;Stringtable Override;@Stringtableoverride
2521678241;Surrender Inventory;@Surrender_Inventory
2469448088;sVisual;@sVisual
9999999999;TEST;@test
1982919196;Treasure;@Treasure
2833363308;View Inventory;@View_Inventory_animation
1828439124;VPP Admin Tools;@VPP_AdminTools
1797720064;Windstrides Clothing Pack;@WindstridesClothingPack
2895049000;Workbench;@workbench
2224593910;Worn Repair;@Worn_Repair
2851504507;Zen Catch Rain;@catch_rain
2810260908;Zen Cause of Death;@Zens_CauseofDeath
2793619401;Zen Leftovers;@Zen_Leftovers
2857994912;Zen Notes;@Zens_Notes
2884638645;Zen Tent Bags;@Zens_TentBags
2817606510;Zen TimeBomb;@Zen_Timebomb
2822531337;Zen Virus;@Zen_Virus
3043440124;Zens Crafting Sounds;@Zens_Crafting_Sounds
2877877368;Zens Firewood Piles;@Zens_Firewood_Piles
2832627966;Zens Gun Move Sounds;@Zens_GunMoveSounds
2924719512;Zens Immersive Login;@Zens_Immersive_Login
3170285574;Zens Zippo lighter;@Zens_Zippo
